system:index,EVI_mean,GCI_mean,NBR_mean,NDMI_mean,NDMI_stdDev,NDVI_mean,NDVI_p10,NDVI_p90,NDVI_stdDev,SAVI_mean,date,month,pct_area_stress_BOTH,pct_area_stress_NDMI,pct_area_stress_NDVI,year,.geo
0,0.45019507442403894,3.2194725562282898,0.4321570298566855,0.1978483660877901,0.11368644352634852,0.6581596463699408,0.4883209137567814,0.7929075384647551,0.12300163974300046,0.4156838667014855,2020-01,1,6.38684562787127,18.06207838838109,6.978260513500828,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.4204331486579321,2.9928514000827895,0.386255070512211,0.1529179478215476,0.11511612348081825,0.6249861421939351,0.4414436026109842,0.761642121401841,0.12580706849515513,0.3915209116325505,2020-02,2,10.065263857523282,28.42437781182383,10.524417400829332,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.38768050734243853,2.5224402448526866,0.3247827806494561,0.11080467799737885,0.12229870116607551,0.5532448170437017,0.3555294347052927,0.7147839438052668,0.13923942095647068,0.35843841268477217,2020-03,3,21.580098958265516,43.15983875045203,22.523990570417773,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.37529514386362506,2.6013697311532393,0.2998249787230375,0.0915111815915251,0.1282775560627255,0.5562073242318484,0.35552494954969927,0.7226038498966386,0.1393278267818096,0.35272573162422366,2020-04,4,21.473380563171283,50.713803110904884,22.002030252277443,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.42918068336083015,3.158732674726681,0.3965525177187057,0.1608663707817355,0.12040743793205685,0.646696884184514,0.4727088223303298,0.792900132475657,0.12743277421147947,0.40358132858884244,2020-05,5,7.954530377250286,27.332757270101045,8.28511537927182,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.40276545487450655,2.7306536679638764,0.35957647489928707,0.13626320313818588,0.11529055939071568,0.5876963480018458,0.4180128750634259,0.7304294971779135,0.12457261234805328,0.37468547127820245,2020-06,6,13.107377757572792,34.65457529153793,13.710125546737373,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.3346777452495772,2.504671331427589,0.26617117193505857,0.05350248679060696,0.12567801457418826,0.5304061078898002,0.3398409800003789,0.7069907810581794,0.1418383941110685,0.3217563958795334,2020-07,7,26.260426405198352,64.73803531070844,26.76455439683984,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.2706884148781243,2.039948967701585,0.14929287846610603,-0.02868719157628026,0.11806958492459615,0.43926330271683756,0.2617680185506605,0.6210405891619085,0.13533458684986233,0.26319212547334375,2020-08,8,53.72353335394082,86.33662583829124,53.919365318560594,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.26632360522861614,1.8629578482357168,0.11242047833254226,-0.044361794857426855,0.12511392801143673,0.4129417131451401,0.23046994604905435,0.6054334219664963,0.1406699569321189,0.25515109204538433,2020-09,9,61.10606871083929,87.46420086933723,61.45802385217641,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.250033785564034,1.8259282873493643,0.08778445724202193,-0.05851323052987352,0.12513588919437227,0.3814911863288136,0.2070405097952347,0.5741690458339881,0.14065367270066523,0.24378492722528242,2020-10,10,70.18759996616551,89.15534774546761,70.56737853294472,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.35428125650915676,2.4891592433031557,0.2621867278776118,0.06412466558796329,0.14353711429551205,0.5385808458364711,0.3320659862887997,0.730412400396637,0.14880696737996432,0.32609626218113696,2020-11,11,27.006129359908932,59.57548118489034,27.76556919232035,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.3888153575762246,2.815523283024151,0.30238914186090343,0.10507899829249331,0.14487302422277956,0.5782467213800407,0.37115248714047244,0.7694961350579849,0.14964468767571903,0.3630976761008279,2020-12,12,21.316668230370865,48.553932367848745,21.757370396716688,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.3381212907831985,2.5299982921758355,0.2563183816220842,0.06289680659675177,0.15798011540930237,0.5239349059657922,0.3008052903186092,0.7382351152373114,0.16281573719416548,0.32550476268418416,2021-01,1,34.87494632163165,59.02337087031888,35.31798158236797,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.2969466665124988,2.3020714865137313,0.1977810901181327,0.022239607908006907,0.1419673386985487,0.47505508668421426,0.27735468623956133,0.6835415970448028,0.15439801424535235,0.29226062428228416,2021-02,2,45.813537794278304,68.74435431452216,46.344001103136975,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.2701039916344659,1.9952207959490027,0.13709863797377134,-0.02097152682013666,0.12937671265773415,0.4232480317610733,0.24613722653130532,0.6210608437977119,0.13977243891467778,0.2632493629754456,2021-03,3,58.95562680627721,80.85457812527592,59.82719543447437,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.2937608808125724,1.8608486624350942,0.18351682473832664,0.010598030069558255,0.13725565473949394,0.4373778378807246,0.2539547947442998,0.636679459685924,0.1433976739201762,0.27062271044950464,2021-04,4,54.08459051669232,73.65763069366747,55.18853105293174,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.3835782863239293,2.612312593188428,0.31563945324213605,0.10566689827083998,0.1356614689251562,0.5766055921204152,0.3867763079570104,0.753869973039298,0.14211983861095354,0.35481044873948137,2021-05,5,18.309079047378813,48.81331424474726,18.776698276991848,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
